"F [GHz]","dB(S(Port1,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port1,Port3)) []"
6.575,-17.1878709564229,-3.77470603135836,-3.74593182079132
6.6,-17.0008570647941,-3.78372050418942,-3.75502816846538
6.625,-16.8226903847025,-3.79389322987939,-3.76535385181312
6.65,-16.652304630887,-3.80691445491984,-3.77813978682024
6.675,-16.5169738626948,-3.82299725602705,-3.79079028981309
6.7,-16.4598002796078,-3.82866365385934,-3.79281031663039
6.725,-16.4157764859556,-3.82218855976711,-3.79071606191566
6.75,-16.3404981668892,-3.82041033153354,-3.7911234631596
6.775,-16.2601040672194,-3.82327223304433,-3.79427044498106
6.8,-16.189487758183,-3.82744666873194,-3.79836530233197
6.825,-16.1314513364117,-3.83179676666382,-3.80260293024817
6.85,-16.0861881174582,-3.83596035936036,-3.80667758286551
6.875,-16.0534419276062,-3.83980438290181,-3.8104620883722
6.9,-16.0329238586358,-3.84327284991425,-3.8138976894303
6.925,-16.0243897731426,-3.84634017589196,-3.81695532105133
