Trace
Swept SA
A.16.17,N9010A
4939800000,-105.741042303915
4945500000,-106.951145025669
4951200000,-106.485413175632
4956900000,-106.363250624856
4962600000,-106.568027539438
4968300000,-106.519190010119
4974000000,-106.731579537638
4979700000,-106.241893578784
4985400000,-105.552148772047
4991100000,-106.072221770621
4996800000,-105.310538949249
5002500000,-82.3093746220578
5008200000,-105.979533511371
5013900000,-106.280764743412
5019600000,-105.768336437254
5025300000,-105.987691968139
5031000000,-105.116034185723
5036700000,-105.872908917754
5042400000,-105.73463322
5048100000,-105.873664063915
5053800000,-106.538890373042
5059500000,-105.727715019823
5065200000,-106.225646069833
5070900000,-106.453790291868
5076600000,-105.902261338
5082300000,-106.008513836342
5088000000,-105.927641295272
5093700000,-106.178580020273
5099400000,-105.869351364491
5105100000,-105.313084589941
5110800000,-105.494713625046
5116500000,-105.62947514131
5122200000,-104.855325446436
5127900000,-105.896888624483
5133600000,-105.914416344173
5139300000,-105.275492451384
5145000000,-106.156922556929
5150700000,-67.2292228411135
5156400000,-89.4237443279183
5162100000,-105.35009530515
5167800000,-105.710999793594
5173500000,-105.553039499813
5179200000,-106.182966721633
5184900000,-105.432722596683
5190600000,-106.235856791139
5196300000,-106.294627397865
5202000000,-105.661937697337
5207700000,-106.189321709338
5213400000,-106.265035165588
5219100000,-106.480327991706
5224800000,-106.017380960443
5230500000,-106.514238547686
5236200000,-106.508195092335
5241900000,-106.820620422037
5247600000,-106.222181485934
5253300000,-106.790679143465
5259000000,-106.773718546495
5264700000,-106.452005327934
5270400000,-106.30584175485
5276100000,-106.128313769152
5281800000,-106.620129880248
5287500000,-107.2499992971
5293200000,-106.440667681986
5298900000,-106.824891641085
5304600000,-106.862110938204
5310300000,-106.74894693547
5316000000,-106.940292591272
5321700000,-107.092515446602
5327400000,-106.716049148732
5333100000,-106.641897202494
5338800000,-107.171672898108
5344500000,-106.610016187241
5350200000,-106.226744969724
5355900000,-107.221794935629
5361600000,-106.326021269297
5367300000,-106.567527401668
5373000000,-107.037733355783
5378700000,-107.048112865465
5384400000,-107.022803235254
5390100000,-106.445698295598
5395800000,-106.764279390698
5401500000,-107.339266140979
5407200000,-107.558984056869
5412900000,-107.293046713805
5418600000,-106.887289539075
5424300000,-107.085713021065
5430000000,-106.979680687514
5435700000,-106.717594412698
5441400000,-106.995956425642
5447100000,-106.663596402001
5452800000,-106.99861062182
5458500000,-106.52321606856
5464200000,-106.961084148532
5469900000,-106.493645854709
5475600000,-106.760392816593
5481300000,-106.303953496647
5487000000,-107.197306793397
5492700000,-107.317006731711
5498400000,-70.4995250291829
5504100000,-106.362021918878
5509800000,-106.909010384433
5515500000,-106.701496721391
5521200000,-106.853571836439
5526900000,-106.215173293883
5532600000,-105.719296128689
5538300000,-107.063824811897
5544000000,-106.751248983153
5549700000,-106.838866398928
5555400000,-106.849887666444
5561100000,-105.898374051646
5566800000,-106.763009156532
5572500000,-106.798569348398
5578200000,-107.434333451995
5583900000,-106.388415906427
5589600000,-107.096694874954
5595300000,-106.710743138864
5601000000,-106.677335002643
5606700000,-106.245487911402
5612400000,-106.778008392312
5618100000,-107.274674520224
5623800000,-106.810122242221
5629500000,-106.514695625841
5635200000,-106.519808128396
5640900000,-107.05527268341
5646600000,-106.564658612197
5652300000,-107.404702728758
5658000000,-107.510805811796
5663700000,-106.462112944461
5669400000,-107.599381694601
