Trace
Swept SA
A.16.17,N9010A
4187400000,-78.7893390513845
4193100000,-87.0615680542417
4198800000,-89.0974232878578
4204500000,-89.1336415457843
4210200000,-90.9255123160952
4215900000,-67.8895011210685
4221600000,-92.5521766891501
4227300000,-93.548347556064
4233000000,-94.3943517707126
4238700000,-92.0050759479521
4244400000,-92.7580414489343
4250100000,-73.9669237060117
4255800000,-90.2842426124897
4261500000,-90.1679927524098
4267200000,-92.1409062094099
4272900000,-92.1564628769992
4278600000,-93.2461596828049
4284300000,-92.9274310113771
4290000000,-94.5931238080752
4295700000,-95.9349330435679
4301400000,-93.6065870557293
4307100000,-90.1123127843378
4312800000,-71.7055066242951
4318500000,-90.7624725651756
4324200000,-92.4861382550717
4329900000,-95.6121937416576
4335600000,-97.8633121662628
4341300000,-97.4303288438258
4347000000,-90.9239433135168
4352700000,-93.8732982913719
4358400000,-94.465585703419
4364100000,-95.8561871956841
4369800000,-91.7706577967091
4375500000,-75.8759852573105
4381200000,-91.4155558272124
4386900000,-96.6280663193308
4392600000,-92.9574141123304
4398300000,-87.7013914759847
4404000000,-91.2901660793362
4409700000,-93.9772657811445
4415400000,-91.8345033189271
4421100000,-91.681430051204
4426800000,-92.7858826115172
4432500000,-92.9208631301523
4438200000,-73.3081428375093
4443900000,-96.2973842299579
4449600000,-93.6071293833815
4455300000,-93.4215494474118
4461000000,-92.5051357781562
4466700000,-87.7969613023231
4472400000,-86.5652602521977
4478100000,-87.8414667667782
4483800000,-90.0260886353741
4489500000,-88.4688535999882
4495200000,-91.5653788134408
4500900000,-45.2934517397206
4506600000,-94.0485153161232
4512300000,-93.9150039346321
4518000000,-91.5795582640318
4523700000,-88.8302974409415
4529400000,-74.6656635877345
4535100000,-92.4311008861976
4540800000,-92.9625415873394
4546500000,-92.7819672740276
4552200000,-92.7395033453975
4557900000,-94.1970246641587
4563600000,-90.5728821478502
4569300000,-94.3410809472417
4575000000,-94.5868493797832
4580700000,-92.8076083606649
4586400000,-90.8029114492262
4592100000,-90.4580820139718
4597800000,-93.4499266019142
4603500000,-89.9137859690217
4609200000,-91.3439157802288
4614900000,-92.4847576909093
4620600000,-89.5849986055009
4626300000,-87.6242466534672
4632000000,-89.4843561688764
4637700000,-88.358315918865
4643400000,-89.5310494186785
4649100000,-89.060999659709
4654800000,-87.6975481886304
4660500000,-87.005232308292
4666200000,-85.8597312765458
4671900000,-87.3029068183426
4677600000,-87.7494394657288
4683300000,-86.7830899812926
4689000000,-82.471224931853
4694700000,-87.9936584846355
4700400000,-87.6938465054142
4706100000,-88.0967733064443
4711800000,-89.6469311584936
4717500000,-90.3270845921222
4723200000,-89.10673060227
4728900000,-89.346396098386
4734600000,-90.3356710620742
4740300000,-88.1556411437697
4746000000,-88.2187618919028
4751700000,-89.9038386033357
4757400000,-90.5348548475331
4763100000,-94.7538977731873
4768800000,-93.0423770206586
4774500000,-91.1245976097175
4780200000,-89.340706615334
4785900000,-87.7040320577987
4791600000,-89.0006360393997
4797300000,-80.7020671437522
4803000000,-90.6816406465444
4808700000,-89.6047670934625
4814400000,-92.3660282096582
4820100000,-92.0567102207441
4825800000,-92.5490695416819
4831500000,-91.8203150501309
